Manufacturer,Model Name,Category,Screen Size,Screen,RAM, Storage,GPU,Operating System,Operating System Version,Weight,Price (Euros)
Lenovo,IdeaPad 320-15IKB,Notebook,"15.6""",Full HD 1920x1080,8GB,1TB HDD,Nvidia GeForce 940MX,No OS,,2.2kg,499
Dell,XPS 13,Ultrabook,"13.3""",IPS Panel Full HD / Touchscreen 1920x1080,8GB,128GB SSD,Intel UHD Graphics 620,Windows,10,1.22kg,979
Asus,Vivobook E200HA,Netbook,"11.6""",1366x768,2GB,32GB Flash Storage,Intel HD Graphics 400,Windows,10,0.98kg,191.9
Lenovo,Legion Y520-15IKBN,Gaming,"15.6""",IPS Panel Full HD 1920x1080,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows,10,2.5kg,999
HP,255 G6,Notebook,"15.6""",1366x768,4GB,500GB HDD,AMD Radeon R2,No OS,,1.86kg,258
Dell,Inspiron 5379,2 in 1 Convertible,"13.3""",Full HD / Touchscreen 1920x1080,8GB,256GB SSD,Intel UHD Graphics 620,Windows,10,1.62kg,819
HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Ultrabook,"15.6""",Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.91kg,659
Dell,Inspiron 3567,Notebook,"15.6""",1366x768,4GB,1TB HDD,Intel HD Graphics 520,Windows,10,2.3kg,418.64
Apple,MacBook Air,Ultrabook,"13.3""",1440x900,8GB,128GB Flash Storage,Intel HD Graphics 6000,Mac OS,X,1.35kg,1099
Dell,Inspiron 5570,Notebook,"15.6""",Full HD 1920x1080,8GB,256GB SSD,AMD Radeon 530,Windows,10,2.2kg,800
Dell,Latitude 5590,Ultrabook,"15.6""",Full HD 1920x1080,8GB,256GB SSD +  256GB SSD,Intel UHD Graphics 620,Windows,10,1.88kg,1298
HP,ProBook 470,Notebook,"17.3""",Full HD 1920x1080,8GB,1TB HDD,Nvidia GeForce 930MX,Windows,10,2.5kg,896
Chuwi,"LapBook 15.6""",Notebook,"15.6""",Full HD 1920x1080,4GB,64GB Flash Storage,Intel HD Graphics,Windows,10,1.89kg,244.99
Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),Notebook,"14.0""",1366x768,2GB,32GB Flash Storage,AMD Radeon R2,Windows,10,1.65kg,199
HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,Notebook,"17.3""",Full HD 1920x1080,4GB,500GB HDD,AMD Radeon 530,Windows,10,2.71kg,439
Dell,XPS 13,Ultrabook,"13.3""",Touchscreen / Quad HD+ 3200x1800,16GB,512GB SSD,Intel UHD Graphics 620,Windows,10,1.2kg,1869
Apple,MacBook Air,Ultrabook,"13.3""",1440x900,8GB,256GB Flash Storage,Intel HD Graphics 6000,Mac OS,X,1.35kg,998
Lenovo,IdeaPad 120S-14IAP,Notebook,"14.0""",1366x768,4GB,64GB Flash Storage,Intel HD Graphics 500,Windows,10,1.44kg,249
Acer,Aspire 3,Notebook,"15.6""",1366x768,4GB,1TB HDD,Intel HD Graphics 620,Linux,,2.1kg,367
Dell,Inspiron 5770,Notebook,"17.3""",IPS Panel Full HD 1920x1080,8GB,128GB SSD +  1TB HDD,AMD Radeon 530,Windows,10,2.8kg,979
HP,250 G6,Notebook,"15.6""",1366x768,4GB,1TB HDD,Intel HD Graphics 620,Windows,10,1.86kg,488.69
HP,ProBook 450,Notebook,"15.6""",Full HD 1920x1080,8GB,256GB SSD,Nvidia GeForce 930MX ,Windows,10,2.1kg,879
Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),Notebook,"15.6""",Full HD 1920x1080,4GB,1TB HDD,Intel HD Graphics 620,Linux,,2kg,389
Dell,Inspiron 7577,Gaming,"15.6""",IPS Panel Full HD 1920x1080,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows,10,2.65kg,1499
Asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,Notebook,"15.6""",1366x768,8GB,1TB HDD,Nvidia GeForce 940MX,Linux,,2.3kg,522.99
Acer,Aspire A515-51G,Notebook,"15.6""",IPS Panel Full HD 1920x1080,4GB,256GB SSD,Intel UHD Graphics 620,Windows,10,2.2kg,682
Dell,Inspiron 7773,2 in 1 Convertible,"17.3""",Full HD / Touchscreen 1920x1080,12GB,1TB HDD,Nvidia GeForce 150MX,Windows,10,2.77kg,999
Apple,MacBook Pro,Ultrabook,"13.3""",IPS Panel Retina Display 2560x1600,8GB,256GB SSD,Intel Iris Graphics 540,macOS,,1.37kg,1419
Lenovo,IdeaPad 320-15ISK,Notebook,"15.6""",1366x768,4GB,128GB SSD,Intel HD Graphics 520,No OS,,2.2kg,369
Asus,Rog Strix,Gaming,"17.3""",Full HD 1920x1080,8GB,256GB SSD +  1TB HDD,AMD Radeon RX 580,Windows,10,3.2kg,1299
Dell,Inspiron 3567,Notebook,"15.6""",Full HD 1920x1080,4GB,256GB SSD,AMD Radeon R5 M430,Windows,10,2.3kg,639
Asus,X751NV-TY001T (N4200/4GB/1TB/GeForce,Notebook,"17.3""",1366x768,4GB,1TB HDD,Nvidia GeForce 920MX,Windows,10,2.8kg,466
Lenovo,Yoga Book,2 in 1 Convertible,"10.1""",IPS Panel Touchscreen 1920x1200,4GB,64GB Flash Storage,Intel HD Graphics 400,Android,,0.69kg,319
Acer,Aspire A515-51G,Notebook,"15.6""",IPS Panel Full HD 1920x1080,8GB,256GB SSD,Nvidia GeForce MX150,Windows,10,2.2kg,841
HP,255 G6,Notebook,"15.6""",Full HD 1920x1080,4GB,256GB SSD,AMD Radeon R4 Graphics,Windows,10,1.86kg,398.49
HP,ProBook 430,Notebook,"13.3""",Full HD 1920x1080,8GB,512GB SSD,Intel UHD Graphics 620,Windows,10,1.49kg,1103
Acer,Aspire 3,Notebook,"15.6""",1366x768,4GB,1TB HDD,Intel HD Graphics 620,Windows,10,2.4kg,384
Dell,Inspiron 3576,Notebook,"15.6""",Full HD 1920x1080,8GB,256GB SSD,AMD Radeon 520,Windows,10,2.13kg,767.8
HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),Notebook,"15.6""",Full HD 1920x1080,4GB,128GB SSD,Intel HD Graphics 520,Windows,10,1.91kg,439
Asus,VivoBook Max,Notebook,"15.6""",1366x768,4GB,256GB SSD,Intel HD Graphics 620,Windows,10,2kg,586.19
MSI,GS73VR 7RG,Gaming,"17.3""",Full HD 1920x1080,16GB,256GB SSD +  2TB HDD,Nvidia GeForce GTX 1070,Windows,10,2.43kg,2449
Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Notebook,"15.6""",Full HD 1920x1080,4GB,256GB SSD,Intel HD Graphics 520,Linux,,2kg,415
Dell,Inspiron 5770,Notebook,"17.3""",Full HD 1920x1080,16GB,256GB SSD +  2TB HDD,AMD Radeon 530,Windows,10,2.8kg,1299
Dell,Vostro 5471,Ultrabook,"14.0""",Full HD 1920x1080,8GB,256GB SSD,Intel UHD Graphics 620,Windows,10,1.7kg,879
Lenovo,IdeaPad 520S-14IKB,Notebook,"14.0""",IPS Panel Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,No OS,,1.7kg,599
Asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),Notebook,"14.0""",Full HD 1920x1080,8GB,256GB SSD,Intel UHD Graphics 620,Windows,10,1.4kg,941
HP,250 G6,Notebook,"15.6""",Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.86kg,690
Asus,ZenBook Pro,Ultrabook,"15.6""",Full HD 1920x1080,16GB,512GB SSD,Nvidia GeForce GTX 1050 Ti,Windows,10,1.8kg,1983
HP,250 G6,Notebook,"15.6""",1366x768,4GB,500GB HDD,AMD Radeon 520,Windows,10,1.86kg,438.69
HP,Stream 14-AX040wm,Notebook,"14.0""",1366x768,4GB,32GB SSD,Intel HD Graphics 400,Windows,10,1.44kg,229
Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),Notebook,"15.6""",Full HD 1920x1080,4GB,1TB HDD,Intel HD Graphics 620,Windows,10,1.9kg,549
Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,Gaming,"17.3""",Full HD 1920x1080,12GB,1TB HDD,Nvidia GeForce GTX 1050 Ti,Linux,,3kg,949
Microsoft,Surface Laptop,Ultrabook,"13.5""",Touchscreen 2256x1504,4GB,128GB SSD,Intel HD Graphics 620,Windows,10 S,1.252kg,1089
Dell,Inspiron 5370,Ultrabook,"13.3""",IPS Panel Full HD 1920x1080,8GB,256GB SSD,AMD Radeon 530,Windows,10,1.4kg,955
Dell,Inspiron 5570,Notebook,"15.6""",Full HD 1920x1080,8GB,256GB SSD,AMD Radeon 530,Windows,10,2.2kg,870
MSI,GL72M 7RDX,Gaming,"17.3""",Full HD 1920x1080,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows,10,2.7kg,1095
Acer,Aspire E5-475,Notebook,"14.0""",1366x768,8GB,1TB HDD,Intel HD Graphics 520,Windows,10,2.1kg,389
Asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,Gaming,"15.6""",Full HD 1920x1080,8GB,1TB HDD,Nvidia GeForce GTX 1050,Windows,10,2.2kg,949
Lenovo,IdeaPad 320-15IKBN,Notebook,"15.6""",Full HD 1920x1080,8GB,2TB HDD,Intel HD Graphics 620,No OS,,2.2kg,519
Dell,Inspiron 5570,Notebook,"15.6""",Full HD 1920x1080,8GB,128GB SSD +  1TB HDD,Intel UHD Graphics 620,Windows,10,2.02kg,855
Acer,Aspire A515-51G-32MX,Notebook,"15.6""",Full HD 1920x1080,4GB,1TB HDD,Nvidia GeForce MX130,Windows,10,2.2kg,530
HP,ProBook 470,Notebook,"17.3""",Full HD 1920x1080,8GB,128GB SSD +  1TB HDD,Nvidia GeForce 930MX,Windows,10,2.5kg,977
Dell,Latitude 5590,Ultrabook,"15.6""",IPS Panel Full HD 1920x1080,8GB,256GB SSD,Intel UHD Graphics 620,Windows,10,1.88kg,1096.16
Apple,"MacBook 12""",Ultrabook,"12.0""",IPS Panel Retina Display 2304x1440,8GB,512GB SSD,Intel HD Graphics 615,macOS,,0.92kg,1510
HP,ProBook 440,Notebook,"14.0""",Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.63kg,860
Lenovo,IdeaPad 320-15AST,Notebook,"15.6""",Full HD 1920x1080,4GB,128GB SSD,AMD R4 Graphics,Windows,10,2.2kg,399
Acer,Aspire 3,Notebook,"15.6""",1366x768,4GB,1TB HDD,AMD Radeon R5,Windows,10,2.1kg,395
Dell,Inspiron 7577,Gaming,"15.6""",IPS Panel Full HD 1920x1080,16GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows,10,2.65kg,1349
HP,Pavilion 15-CK000nv,Ultrabook,"15.6""",IPS Panel Full HD 1920x1080,8GB,256GB SSD,Nvidia GeForce GTX 940MX,Windows,10,1.83kg,699
HP,250 G6,Notebook,"15.6""",Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.96kg,598.99
Asus,FX503VM-E4007T (i7-7700HQ/16GB/1TB,Gaming,"15.6""",IPS Panel Full HD 1920x1080,16GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows,10,2.2kg,1449
Dell,XPS 13,Ultrabook,"13.3""",IPS Panel Full HD 1920x1080,8GB,256GB SSD,Intel UHD Graphics 620,Windows,10,1.21kg,1649
Asus,FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,Gaming,"15.6""",Full HD 1920x1080,8GB,1TB HDD,AMD Radeon RX 560,Windows,10,2.45kg,699
Acer,Aspire 5,Notebook,"15.6""",Full HD 1920x1080,8GB,1TB HDD,Nvidia GeForce MX150,Windows,10,2.2kg,689
HP,Probook 430,Notebook,"13.3""",Full HD 1920x1080,16GB,512GB SSD,Intel UHD Graphics 620,Windows,10,1.49kg,1197
Dell,Inspiron 7577,Gaming,"15.6""",Full HD 1920x1080,8GB,256GB SSD,Nvidia GeForce GTX 1060,Windows,10,2.65kg,1195
Asus,Zenbook UX430UA,Ultrabook,"14.0""",Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.25kg,1049
Acer,Spin 5,2 in 1 Convertible,"13.3""",IPS Panel Full HD / Touchscreen 1920x1080,8GB,256GB SSD,Intel UHD Graphics 620,Windows,10,1.5kg,847
Dell,Inspiron 3567,Notebook,"15.6""",Full HD 1920x1080,8GB,1TB HDD,AMD Radeon R5 M430,Linux,,2.2kg,599.9
Dell,Inspiron 3567,Notebook,"15.6""",Full HD 1920x1080,4GB,256GB SSD,AMD Radeon R5 M430,Linux,,2.2kg,485
Asus,X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,Notebook,"15.6""",Full HD 1920x1080,6GB,256GB SSD,Nvidia GeForce 920M,Windows,10,2kg,577
HP,Omen 15-ce007nv,Gaming,"15.6""",IPS Panel Full HD 1920x1080,12GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows,10,2.62kg,1249
HP,15-bs017nv (i7-7500U/8GB/256GB/Radeon,Notebook,"15.6""",Full HD 1920x1080,8GB,256GB SSD,AMD Radeon 530,Windows,10,1.91kg,719
HP,15-bw000nv (E2-9000e/4GB/500GB/Radeon,Notebook,"15.6""",Full HD 1920x1080,4GB,500GB HDD,AMD Radeon R2,Windows,10,2.1kg,349
Dell,Inspiron 3576,Notebook,"15.6""",Full HD 1920x1080,8GB,1TB HDD,AMD Radeon 520,Linux,,2.2kg,647
HP,Envy 13-ad009n,Ultrabook,"13.3""",IPS Panel Full HD 1920x1080,8GB,256GB SSD,Nvidia GeForce MX150,Windows,10,1.38kg,1119
Microsoft,Surface Laptop,Ultrabook,"13.5""",Touchscreen 2256x1504,8GB,256GB SSD,Intel HD Graphics 620,Windows,10 S,1.252kg,1340
HP,Pavilion 14-BK001nv,Notebook,"14.0""",IPS Panel Full HD 1920x1080,6GB,256GB SSD,Nvidia GeForce 940MX,Windows,10,1.58kg,659
Lenovo,Ideapad 310-15ISK,Notebook,"15.6""",Full HD 1920x1080,4GB,1TB HDD,Intel HD Graphics 520,Windows,10,1.85kg,414.9
Asus,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,Ultrabook,"14.0""",IPS Panel Full HD 1920x1080,8GB,256GB SSD,Nvidia GeForce 940MX,Windows,10,1.3kg,1193
MSI,GP62M 7REX,Gaming,"15.6""",Full HD 1920x1080,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows,10,2.2kg,1299
Lenovo,Thinkpad T470,Notebook,"14.0""",IPS Panel Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.58kg,1480
Asus,VivoBook S15,Ultrabook,"15.6""",Full HD 1920x1080,16GB,256GB SSD +  1TB HDD,Nvidia GeForce MX150,Windows,10,1.5kg,1262
Dell,XPS 13,Ultrabook,"13.3""",Quad HD+ / Touchscreen 3200x1800,8GB,256GB SSD,Intel Iris Plus Graphics 640,Windows,10,1.23kg,1379
Lenovo,ThinkPad Yoga,2 in 1 Convertible,"13.3""",IPS Panel Full HD / Touchscreen 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.37kg,1399
HP,Probook 440,Notebook,"14.0""",IPS Panel 1366x768,4GB,500GB HDD,Intel UHD Graphics 620,Windows,10,1.63kg,722
Dell,XPS 13,Ultrabook,"13.3""",IPS Panel Full HD 1920x1080,8GB,256GB SSD,Intel UHD Graphics 620,Windows,10,1.21kg,1629
HP,Spectre x360,2 in 1 Convertible,"13.3""",IPS Panel Full HD / Touchscreen 1920x1080,8GB,256GB SSD,Intel UHD Graphics 620,Windows,10,1.26kg,1398.99
HP,Probook 440,Notebook,"14.0""",Full HD 1920x1080,8GB,512GB SSD,Intel UHD Graphics 620,Windows,10,1.63kg,1084
Dell,Inspiron 7570,Notebook,"15.6""",IPS Panel Full HD 1920x1080,8GB,256GB SSD +  1TB HDD,Nvidia GeForce 940MX,Windows,10,2.16kg,1130.33
Asus,X705UV-BX074T (i3-6006U/4GB/1TB/GeForce,Notebook,"17.3""",Full HD 1920x1080,4GB,1TB HDD,Nvidia GeForce 920MX,Windows,10,2kg,564
Asus,VivoBook S15,Notebook,"15.6""",Full HD 1920x1080,8GB,256GB SSD,Nvidia GeForce 940MX,Windows,10,1.7kg,1118
Acer,Spin 3,Notebook,"15.6""",IPS Panel Full HD / Touchscreen 1920x1080,6GB,1TB HDD,Intel HD Graphics 620,Windows,10,2.1kg,479
MSI,GS63VR 7RG,Gaming,"15.6""",Full HD 1920x1080,16GB,256GB SSD +  2TB HDD,Nvidia GeForce GTX 1070,Windows,10,1.8kg,2241.5
Lenovo,IdeaPad 320-15IKBN,Notebook,"15.6""",Full HD 1920x1080,8GB,256GB SSD,Nvidia GeForce 940MX,No OS,,2.2kg,629
HP,Probook 470,Notebook,"17.3""",Full HD 1920x1080,16GB,512GB SSD,Nvidia GeForce 930MX ,Windows,10,2.5kg,1271
Acer,Aspire 3,Notebook,"15.6""",1366x768,4GB,256GB SSD,AMD Radeon R5,Windows,10,2.1kg,451
HP,250 G6,Notebook,"15.6""",1366x768,4GB,500GB HDD,Intel HD Graphics 400,No OS,,1.86kg,259
HP,Probook 440,Notebook,"14.0""",Full HD 1920x1080,8GB,1TB HDD,Intel UHD Graphics 620,Windows,10,1.63kg,812
Asus,E402WA-GA007T (E2-6110/4GB/64GB/W10,Notebook,"14.0""",1366x768,4GB,64GB SSD,AMD Radeon R2,Windows,10 S,1.65kg,277.99
Dell,Inspiron 5770,Notebook,"17.3""",Full HD 1920x1080,16GB,256GB SSD +  2TB HDD,AMD Radeon 530,Windows,10,2.8kg,1396
HP,ProBook 470,Notebook,"17.3""",Full HD 1920x1080,8GB,256GB SSD,Intel UHD Graphics 620,Windows,10,2.5kg,928
Dell,Inspiron 5567,Notebook,"15.6""",1366x768,8GB,1TB HDD,AMD Radeon R7 M445,Windows,10,2.36kg,638.99
Dell,Inspiron 3567,Notebook,"15.6""",Full HD 1920x1080,4GB,1TB HDD,AMD Radeon R5 M430,Windows,10,2.2kg,449
Acer,Swift 3,Ultrabook,"14.0""",IPS Panel Full HD 1920x1080,8GB,256GB SSD,Intel UHD Graphics 620,Windows,10,1.6kg,884
Acer,Aspire A515-51G-37JS,Notebook,"15.6""",Full HD 1920x1080,4GB,256GB SSD,Nvidia GeForce MX130,Windows,10,2.2kg,572
HP,15-BS078nr (i7-7500U/8GB/1TB/W10),Notebook,"15.6""",1366x768,8GB,1TB HDD,Intel HD Graphics 620,Windows,10,2.05kg,598
HP,Probook 440,Notebook,"14.0""",Full HD 1920x1080,8GB,256GB SSD,Intel UHD Graphics 620,Windows,10,1.63kg,988
Lenovo,V110-15IAP (N3350/4GB/1TB/No,Notebook,"15.6""",1366x768,4GB,1TB HDD,Intel HD Graphics 500,No OS,,1.9kg,252.36
Asus,FX753VD-GC086T (i5-7300HQ/8GB/1TB,Gaming,"17.3""",Full HD 1920x1080,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows,10,3kg,938
Lenovo,IdeaPad 320-15IKBN,Notebook,"15.6""",Full HD 1920x1080,4GB,1TB HDD,Nvidia GeForce 920MX,No OS,,2.2kg,499
HP,Envy 13-AD007nv,Notebook,"13.3""",IPS Panel Full HD 1920x1080,4GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.32kg,699
Acer,Aspire 5,Notebook,"17.3""",IPS Panel Full HD 1920x1080,4GB,1TB HDD,Nvidia GeForce MX130,Windows,10,3kg,655
Lenovo,ThinkPad E480,Notebook,"14.0""",IPS Panel Full HD 1920x1080,8GB,256GB SSD,AMD Radeon RX 550,Windows,10,1.75kg,1116.02
Lenovo,Legion Y520-15IKBN,Gaming,"15.6""",IPS Panel Full HD 1920x1080,8GB,256GB SSD,Nvidia GeForce GTX 1050M,No OS,,2.4kg,869
Toshiba,Satellite Pro,Notebook,"15.6""",1366x768,4GB,500GB HDD,Intel HD Graphics 520,Windows,10,2.1kg,602
HP,255 G6,Notebook,"15.6""",1366x768,4GB,256GB SSD,AMD Radeon R4 Graphics,Windows,10,1.86kg,369
Asus,ZenBook UX430UA,Ultrabook,"14.0""",Full HD 1920x1080,8GB,256GB SSD,Intel UHD Graphics 620,Windows,10,1.25kg,1099
HP,EliteBook Folio,Ultrabook,"12.5""",IPS Panel 4K Ultra HD / Touchscreen 3840x2160,8GB,512GB SSD,Intel HD Graphics 515,Windows,10,0.97kg,2014
Asus,X541NA (N3350/4GB/1TB/FHD/W10),Notebook,"15.6""",Full HD 1920x1080,4GB,1TB HDD,Intel HD Graphics 500,Windows,10,2kg,344
MSI,GE72MVR 7RG,Gaming,"17.3""",Full HD 1920x1080,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows,10,2.9kg,2029
Acer,Aspire A315-51,Notebook,"15.6""",1366x768,4GB,1TB HDD,Intel HD Graphics 520,Windows,10,2.1kg,447
Dell,Inspiron 5577,Gaming,"15.6""",Full HD 1920x1080,16GB,512GB SSD,Nvidia GeForce GTX 1050,Windows,10,2.56kg,1249.26
Dell,Inspiron 7567,Gaming,"15.6""",Full HD 1920x1080,8GB,1TB Hybrid,Nvidia GeForce GTX 1050,Windows,10,2.62kg,899
Lenovo,V110-15IKB (i5-7200U/4GB/128GB/W10),Notebook,"15.6""",1366x768,4GB,128GB SSD,Intel HD Graphics 620,Windows,10,1.9kg,498
MSI,GE73VR 7RE,Gaming,"17.3""",Full HD 1920x1080,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows,10,2.8kg,1890
HP,EliteBook 840,Ultrabook,"14.0""",Full HD 1920x1080,4GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.48kg,1082
HP,15-BS103nv (i5-8250U/6GB/256GB/Radeon,Notebook,"15.6""",Full HD 1920x1080,6GB,256GB SSD,AMD Radeon 520,Windows,10,1.91kg,619
Lenovo,Yoga 520-14IKB,2 in 1 Convertible,"14.0""",IPS Panel Full HD / Touchscreen 1920x1080,4GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.74kg,629
Asus,ZenBook Flip,2 in 1 Convertible,"13.3""",Full HD / Touchscreen 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.1kg,1315
Dell,Inspiron 5579,2 in 1 Convertible,"15.6""",Full HD / Touchscreen 1920x1080,8GB,256GB SSD,Intel UHD Graphics 620,Windows,10,1.56kg,1049
Toshiba,Satellite Pro,Notebook,"15.6""",1366x768,4GB,500GB HDD,Intel HD Graphics 520,Windows,10,2.1kg,447
Asus,X555BP-XX180T (A9-9420/4GB/1TB/Radeon,Notebook,"15.6""",1366x768,4GB,1TB HDD,AMD Radeon R5 M420,Windows,10,2.03kg,403
Acer,Aspire A517-51G,Notebook,"17.3""",IPS Panel Full HD 1920x1080,4GB,256GB SSD,Nvidia GeForce MX150,Windows,10,3kg,805
Dell,Inspiron 3576,Notebook,"15.6""",Full HD 1920x1080,8GB,256GB SSD,AMD Radeon 520,Windows,10,2.13kg,728
Lenovo,Legion Y520-15IKBN,Gaming,"15.6""",IPS Panel Full HD 1920x1080,16GB,256GB SSD,Nvidia GeForce GTX 1050 Ti,Windows,10,2.5kg,1079
Acer,Aspire A315-31,Notebook,"15.6""",1366x768,4GB,1TB HDD,Intel HD Graphics 500,Windows,10,2.1kg,348
MSI,GE63VR 7RE,Gaming,"15.6""",IPS Panel Full HD 1920x1080,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows,10,2.4kg,1799
Acer,Aspire 3,Notebook,"15.6""",1366x768,4GB,1TB HDD,Intel HD Graphics 505,Windows,10,2.1kg,363.51
Dell,Inspiron 5577,Gaming,"15.6""",Full HD 1920x1080,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows,10,2.56kg,1060.49
Acer,Aspire A517-51G,Notebook,"17.3""",IPS Panel Full HD 1920x1080,8GB,256GB SSD,Nvidia GeForce MX150,Windows,10,3kg,854
HP,ProBook 430,Notebook,"13.3""",IPS Panel Full HD 1920x1080,4GB,500GB HDD,Intel UHD Graphics 620,Windows,10,1.49kg,754
Huawei,MateBook X,Ultrabook,"13.0""",IPS Panel Full HD 2160x1440,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.05kg,1349
HP,17-bs001nv (i5-7200U/6GB/2TB/Radeon,Notebook,"17.3""",IPS Panel Full HD 1920x1080,6GB,2TB HDD,AMD Radeon 520,Windows,10,2.71kg,699
Lenovo,IdeaPad 320-15AST,Notebook,"15.6""",1366x768,4GB,500GB HDD,AMD Radeon R4 Graphics,No OS,,2.2kg,309
Toshiba,Satellite Pro,Notebook,"15.6""",1366x768,4GB,500GB HDD,Intel HD Graphics 620,Windows,10,2kg,489
